"","dates","a","c","b","d","S","E","I","R","D","T","Tcum"
"60","2020-04-26",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659093315919994,0.000667796078615527,0.0332113057135173,0.263665027727913,0.0433625545599609,3381,222658
"61","2020-04-26",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658990590872697,0.000639824973845425,0.0326921692184536,0.264307015385577,0.0433703995494267,3381,222658
"62","2020-04-27",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658889492275899,0.000615450288154312,0.0321779997726775,0.264938936140365,0.043378121522903,7754,230412
"63","2020-04-28",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658790003014518,0.000594035639053803,0.0316693472696735,0.265560892345623,0.0433857217311316,8741,239153
"64","2020-04-29",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658692104482955,0.000575061345677079,0.0311666368201753,0.266172995810785,0.0433932015404065,7322,246475
"65","2020-04-30",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658595776936953,0.000558102956569672,0.0306701920953794,0.266775365605359,0.0434005624057387,7396,253871
"66","2020-03-01",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.699764555652326,0.245839486372989,0.0543173107927463,2.60621365910373e-05,5.25850453483314e-05,11,211
"67","2020-03-02",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.699116996504269,0.20186886189751,0.0987190489884519,9.77879144957389e-05,0.00019730469527374,51,262
"68","2020-03-03",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.698133343383881,0.166172342472629,0.135070053459304,0.000206867770955042,0.000417392913231838,78,340
"69","2020-03-04",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.696875702023515,0.137193988160052,0.164884517868186,0.000346554980470318,0.000699236967777573,67,407
"70","2020-03-05",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.695394725612969,0.113670249108002,0.189391869051194,0.000511371766914316,0.00103178446092149,76,483
"71","2020-03-06",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.693731672570132,0.0945751048528258,0.209590290149578,0.000696870641958102,0.00140606178550571,111,594
"72","2020-03-07",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.691920114841403,0.0790754641014356,0.226290197344368,0.000899440608005569,0.00181478310478846,193,787
"73","2020-03-08",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.689987348830698,0.0664949179317202,0.240149550578428,0.00111614980170684,0.00225203285744692,141,928
"74","2020-03-09",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.687955556019903,0.0562842896214903,0.251702528652232,0.00134461773183909,0.00271300797453595,265,1193
"75","2020-03-10",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.685842754630213,0.0479977116969278,0.261382813538782,0.00158291154904275,0.00319380858503503,165,1358
"76","2020-03-11",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.683663577953958,0.04127319607721,0.269542496047002,0.00182946182885353,0.00369126809297701,458,1816
"77","2020-03-12",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.681429909626467,0.0358168554975625,0.276467425456425,0.00208299419811028,0.00420281522143542,537,2353
"78","2020-03-13",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.679151401283862,0.0313900913518093,0.282389671529737,0.00234247382446289,0.00472636201012859,845,3198
"79","2020-03-14",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.676835893826603,0.0277991910604919,0.287497641880015,0.00260706034899844,0.0052602128838917,986,4184
"80","2020-03-15",0.0119830957708182,1,0.00092835861212506,0.00187313037622935,0.674489759875225,0.0248868823027856,0.291944295697342,0.00287607129711327,0.00580299082753431,1028,5212
"81","2020-03-15",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.673729397633055,0.0210648687390178,0.293847007417186,0.00510824749662744,0.00625047871411414,1028,5212
"82","2020-03-16",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.672965909317213,0.0179384741821728,0.295043164675526,0.00735213703321869,0.00670031479186927,1319,6531
"83","2020-03-17",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.672200959849203,0.0153801005664284,0.295664540345469,0.00960287537790466,0.00715152386099514,1294,7825
"84","2020-03-18",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.671435898318603,0.0132855647134845,0.295818717306212,0.0118565067598367,0.00760331290186487,1756,9581
"85","2020-03-19",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.670671816259263,0.0115698012937583,0.295593527480439,0.0141098173362039,0.00805503763033658,2259,11840
"86","2020-03-20",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.669909595199488,0.0101633543972775,0.295060676236372,0.0163601989764936,0.00850617519036902,2121,13961
"87","2020-03-21",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.669149945455508,0.00900951298468716,0.294278701659248,0.0186055380429026,0.00895630185765504,1882,15843
"88","2020-03-22",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.66839343777764,0.00806197204893596,0.293295390758981,0.0208441245797617,0.00940507483468218,1801,17644
"89","2020-03-23",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.667640529163854,0.00728292300490608,0.292149752278162,0.023074578166683,0.00985221738639611,2291,19935
"90","2020-03-24",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.666891583914289,0.0066414945314076,0.290873627473392,0.0252957873774785,0.0102975067034343,3062,22997
"91","2020-03-25",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.666146890803192,0.00611247954762806,0.289493005308686,0.0275068603480916,0.0107407639924014,4107,27104
"92","2020-03-26",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.665406677083593,0.00567529581051122,0.288029096306394,0.0297070844149882,0.0111818463845135,4633,31737
"93","2020-03-27",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.664671119908444,0.00531313725749694,0.286499209345566,0.031895893159555,0.0116206403289373,5359,37096
"94","2020-03-28",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.663940355644539,0.00501228108814188,0.284917467569429,0.0340728394995082,0.0120570561983814,4224,41320
"95","2020-03-29",0.00385017652297392,1,0.00761936930939555,0.00152746699390251,0.663214487467725,0.00476152200297653,0.283295392927096,0.036237573717705,0.0124910238844981,2848,44168
"96","2020-03-29",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.663090691117467,0.00401051481977061,0.269730129053319,0.0479989845564607,0.0151696804529826,2848,44168
"97","2020-03-30",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662972865627971,0.00339023429206051,0.256722126886231,0.0591951667646138,0.0177196064291244,5159,49327
"98","2020-03-31",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662860759417022,0.00287721167721379,0.244266118845999,0.0698497309422163,0.0201461791175498,6661,55988
"99","2020-04-01",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662754124486119,0.00245222912005392,0.232352963750354,0.0799859774723735,0.0224547051711007,6102,62090
"100","2020-04-02",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662652717910631,0.0020995477534879,0.220970593924533,0.0896267525987938,0.024650387812555,6673,68763
"101","2020-04-03",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662556302948884,0.00180627606487757,0.210104777937109,0.0987943407399177,0.0267383023092124,7398,76161
"102","2020-04-04",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662464649845317,0.00156185303442221,0.199739733089124,0.107510385946294,0.0287233780848443,5837,81998
"103","2020-04-05",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662377536388842,0.00135762518569809,0.189858615549834,0.115795836722678,0.0306103861529482,4812,86810
"104","2020-04-06",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662294748276116,0.0011865004800769,0.180443910932973,0.123670909510859,0.0324039307999767,6435,93245
"105","2020-04-07",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662216079320076,0.00104266508912695,0.171477743936394,0.131155067007231,0.0341084446471735,8173,101418
"106","2020-04-08",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662141331536529,0.000921351617566263,0.162942122256521,0.138267008206382,0.035728186383004,8469,109887
"107","2020-04-09",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662070315135304,0.000818649426389046,0.154819127198965,0.14502466764776,0.0372672405915842,8180,118067
"108","2020-04-10",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.662002848437482,0.000731349405298578,0.147091061125043,0.151445221820745,0.0387295192114335,5702,123769
"109","2020-04-11",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.661938757736032,0.00065681693417681,0.139740560008204,0.157545101073809,0.0401187642477808,4891,128660
"110","2020-04-12",0.000675230869092047,1,0.0425419444709105,0.00968891067197546,0.661877877113846,0.000592887911154561,0.132750677848925,0.163340005691895,0.041438551434181,3250,131910
"111","2020-04-12",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.661548657811767,0.000783332102771236,0.120822973606101,0.17517943208349,0.0416656043958708,3250,131910
"112","2020-04-13",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.661249103954902,0.000912411746711248,0.110009041608615,0.185957146524954,0.0418722961648165,3215,135125
"113","2020-04-14",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.660976431937362,0.000993768759280662,0.100197359334059,0.195771919046323,0.0420605209229746,6173,141298
"114","2020-04-15",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.660728139028247,0.00103831814005918,0.0912888650941869,0.204712693331911,0.042231984405596,8476,149774
"115","2020-04-16",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.660501971647819,0.00105477096331973,0.0831953581648064,0.212859674462437,0.0423882247616177,8381,158155
"116","2020-04-17",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.660295897771513,0.00105005883611489,0.0758381341634957,0.220285278465028,0.0425306307638478,8288,166443
"117","2020-04-18",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.66010808284528,0.00102967824115432,0.0691468173506464,0.227054963807802,0.0426604577551179,5605,172048
"118","2020-04-19",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659936868698142,0.000997969751469034,0.0630583581810555,0.233227961715281,0.0427788416540534,4027,176075
"119","2020-04-20",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659780755022,0.000958344311158702,0.0575161698900889,0.238857919484359,0.0428868112923938,6567,182642
"120","2020-04-21",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659638383058015,0.000913466503451849,0.0524693823787832,0.243993468746792,0.0429852993129593,8341,190983
"121","2020-04-22",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659508521186123,0.0008654028772029,0.0478721953442849,0.248678728770576,0.0430751518218141,8818,199801
"122","2020-04-23",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659390052161575,0.000815741897132008,0.0436833156310921,0.252953753351581,0.0431571369586196,7901,207702
"123","2020-04-24",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.65928196178165,0.00076569085755041,0.039865466273241,0.256854928563005,0.0432319525245539,7129,214831
"124","2020-04-25",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659183328798336,0.000716154101886939,0.03638495675467,0.260415327558488,0.0433002327866193,4446,219277
"125","2020-04-26",0.00392714142799377,1,0.0934526771306992,0.00179220736026764,0.659093315919994,0.000667796078615527,0.0332113057135173,0.263665027727913,0.0433625545599609,3381,222658
"126","2020-04-26",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658990590872697,0.000639824973845425,0.0326921692184536,0.264307015385577,0.0433703995494267,3381,222658
"127","2020-04-27",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658889492275899,0.000615450288154312,0.0321779997726775,0.264938936140365,0.043378121522903,7754,230412
"128","2020-04-28",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658790003014518,0.000594035639053803,0.0316693472696735,0.265560892345623,0.0433857217311316,8741,239153
"129","2020-04-29",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658692104482955,0.000575061345677079,0.0311666368201753,0.266172995810785,0.0433932015404065,7322,246475
"130","2020-04-30",0.00473031512228772,1,0.0194828937994316,0.000238077936228365,0.658595776936953,0.000558102956569672,0.0306701920953794,0.266775365605359,0.0434005624057387,7396,253871
